[ 21644][I][app_httpd.cpp:291] stream_handler(): MJPG: 7834B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 21679][I][app_httpd.cpp:291] stream_handler(): MJPG: 8904B 34ms (29.41fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21705][I][app_httpd.cpp:291] stream_handler(): MJPG: 8147B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.89
[ 21735][I][app_httpd.cpp:291] stream_handler(): MJPG: 8147B 30ms (33.33fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21772][I][app_httpd.cpp:291] stream_handler(): MJPG: 8593B 36ms (27.78fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21803][I][app_httpd.cpp:291] stream_handler(): MJPG: 7241B 31ms (32.26fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 21832][I][app_httpd.cpp:291] stream_handler(): MJPG: 7630B 29ms (34.48fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 21856][I][app_httpd.cpp:291] stream_handler(): MJPG: 7630B 23ms (43.48fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 21881][I][app_httpd.cpp:291] stream_handler(): MJPG: 6841B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 21907][I][app_httpd.cpp:291] stream_handler(): MJPG: 8567B 26ms (38.46fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 21931][I][app_httpd.cpp:291] stream_handler(): MJPG: 8548B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 21955][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 23ms (43.48fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 21984][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 28ms (35.71fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 22009][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 22041][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 32ms (31.25fps), AVG: 28ms (35.71fps), Temperature: 59.44
[ 22067][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 22090][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 22ms (45.45fps), AVG: 28ms (35.71fps), Temperature: 58.89
[ 22115][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 25ms (40.00fps), AVG: 28ms (35.71fps), Temperature: 58.33
[ 22142][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 58.33
[ 22165][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 22196][I][app_httpd.cpp:291] stream_handler(): MJPG: 7927B 30ms (33.33fps), AVG: 27ms (37.04fps), Temperature: 58.33
