[ 11657][I][app_httpd.cpp:291] stream_handler(): MJPG: 7745B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11682][I][app_httpd.cpp:291] stream_handler(): MJPG: 7745B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11706][I][app_httpd.cpp:291] stream_handler(): MJPG: 7745B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 57.22
[ 11739][I][app_httpd.cpp:291] stream_handler(): MJPG: 8370B 33ms (30.30fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11763][I][app_httpd.cpp:291] stream_handler(): MJPG: 6668B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11791][I][app_httpd.cpp:291] stream_handler(): MJPG: 7840B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11816][I][app_httpd.cpp:291] stream_handler(): MJPG: 8141B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11844][I][app_httpd.cpp:291] stream_handler(): MJPG: 8713B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11867][I][app_httpd.cpp:291] stream_handler(): MJPG: 7773B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 58.89
[ 11896][I][app_httpd.cpp:291] stream_handler(): MJPG: 7981B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 11921][I][app_httpd.cpp:291] stream_handler(): MJPG: 8853B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 11952][I][app_httpd.cpp:291] stream_handler(): MJPG: 7492B 31ms (32.26fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 11979][I][app_httpd.cpp:291] stream_handler(): MJPG: 9012B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 12004][I][app_httpd.cpp:291] stream_handler(): MJPG: 8165B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 12025][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 12055][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 12080][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 12107][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 12144][I][app_httpd.cpp:291] stream_handler(): MJPG: 8168B 36ms (27.78fps), AVG: 26ms (38.46fps), Temperature: 57.22
[ 12174][I][app_httpd.cpp:291] stream_handler(): MJPG: 7026B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 57.78
[ 12199][I][app_httpd.cpp:291] stream_handler(): MJPG: 8579B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 57.78
