[103811][I][app_httpd.cpp:291] stream_handler(): MJPG: 7130B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.78
[103834][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103854][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103888][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 33ms (30.30fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103909][I][app_httpd.cpp:291] stream_handler(): MJPG: 6953B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103930][I][app_httpd.cpp:291] stream_handler(): MJPG: 7599B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103953][I][app_httpd.cpp:291] stream_handler(): MJPG: 7026B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.78
[103976][I][app_httpd.cpp:291] stream_handler(): MJPG: 7737B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.22
[103997][I][app_httpd.cpp:291] stream_handler(): MJPG: 6759B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104017][I][app_httpd.cpp:291] stream_handler(): MJPG: 6857B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104040][I][app_httpd.cpp:291] stream_handler(): MJPG: 6857B 22ms (45.45fps), AVG: 23ms (43.48fps), Temperature: 62.78
[104084][I][app_httpd.cpp:291] stream_handler(): MJPG: 6857B 43ms (23.26fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104106][I][app_httpd.cpp:291] stream_handler(): MJPG: 6857B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.78
[104127][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104151][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104173][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104197][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 24ms (41.67fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104221][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 62.78
[104251][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 29ms (34.48fps), AVG: 24ms (41.67fps), Temperature: 62.78
[104271][I][app_httpd.cpp:291] stream_handler(): MJPG: 6989B 20ms (50.00fps), AVG: 23ms (43.48fps), Temperature: 62.22
[104299][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 28ms (35.71fps), AVG: 23ms (43.48fps), Temperature: 62.78
[104330][I][app_httpd.cpp:291] stream_handler(): MJPG: 7110B 31ms (32.26fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104355][I][app_httpd.cpp:291] stream_handler(): MJPG: 7110B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104379][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 23ms (43.48fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104403][I][app_httpd.cpp:291] stream_handler(): MJPG: 6495B 24ms (41.67fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104429][I][app_httpd.cpp:291] stream_handler(): MJPG: 6701B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 62.78
[104449][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 20ms (50.00fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104471][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104500][I][app_httpd.cpp:291] stream_handler(): MJPG: 7875B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 62.22
[104531][I][app_httpd.cpp:291] stream_handler(): MJPG: 6989B 31ms (32.26fps), AVG: 25ms (40.00fps), Temperature: 62.78
[104557][I][app_httpd.cpp:291] stream_handler(): MJPG: 7076B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 62.22
