1738380153002,[187837][I][app_httpd.cpp:291] stream_handler(): MJPG: 10228B 31ms (32.26fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380153041,[187875][I][app_httpd.cpp:291] stream_handler(): MJPG: 9877B 38ms (26.32fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380153109,[187943][I][app_httpd.cpp:291] stream_handler(): MJPG: 10018B 67ms (14.93fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380153144,[187979][I][app_httpd.cpp:291] stream_handler(): MJPG: 9877B 35ms (28.57fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380153205,[188040][I][app_httpd.cpp:291] stream_handler(): MJPG: 9898B 61ms (16.39fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380153260,[188094][I][app_httpd.cpp:291] stream_handler(): MJPG: 10052B 54ms (18.52fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380153292,[188127][I][app_httpd.cpp:291] stream_handler(): MJPG: 10139B 32ms (31.25fps), AVG: 41ms (24.39fps), Temperature: 66.11
1738380153384,[188218][I][app_httpd.cpp:291] stream_handler(): MJPG: 10124B 91ms (10.99fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380153414,[188249][I][app_httpd.cpp:291] stream_handler(): MJPG: 9827B 30ms (33.33fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380153450,[188285][I][app_httpd.cpp:291] stream_handler(): MJPG: 10271B 36ms (27.78fps), AVG: 43ms (23.26fps), Temperature: 66.67
1738380153482,[188317][I][app_httpd.cpp:291] stream_handler(): MJPG: 10032B 31ms (32.26fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380153529,[188364][I][app_httpd.cpp:291] stream_handler(): MJPG: 10010B 46ms (21.74fps), AVG: 42ms (23.81fps), Temperature: 66.11
1738380153585,[188420][I][app_httpd.cpp:291] stream_handler(): MJPG: 9921B 56ms (17.86fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380153624,[188459][I][app_httpd.cpp:291] stream_handler(): MJPG: 10619B 38ms (26.32fps), AVG: 43ms (23.26fps), Temperature: 66.11
1738380153689,[188524][I][app_httpd.cpp:291] stream_handler(): MJPG: 9791B 64ms (15.62fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380153722,[188556][I][app_httpd.cpp:291] stream_handler(): MJPG: 9930B 32ms (31.25fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380153771,[188605][I][app_httpd.cpp:291] stream_handler(): MJPG: 9908B 49ms (20.41fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380153819,[188654][I][app_httpd.cpp:291] stream_handler(): MJPG: 10044B 48ms (20.83fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380153849,[188683][I][app_httpd.cpp:291] stream_handler(): MJPG: 9974B 29ms (34.48fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380153891,[188725][I][app_httpd.cpp:291] stream_handler(): MJPG: 9981B 41ms (24.39fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380153923,[188759][I][app_httpd.cpp:291] stream_handler(): MJPG: 10091B 33ms (30.30fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380153965,[188800][I][app_httpd.cpp:291] stream_handler(): MJPG: 10344B 41ms (24.39fps), AVG: 45ms (22.22fps), Temperature: 66.11
1738380154004,[188839][I][app_httpd.cpp:291] stream_handler(): MJPG: 10020B 38ms (26.32fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380154052,[188887][I][app_httpd.cpp:291] stream_handler(): MJPG: 10062B 47ms (21.28fps), AVG: 44ms (22.73fps), Temperature: 66.11
1738380154084,[188919][I][app_httpd.cpp:291] stream_handler(): MJPG: 10050B 31ms (32.26fps), AVG: 43ms (23.26fps), Temperature: 66.11
